date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-11-09,24.4,24.79,24.44,23.63,121654.84,-0.03,-0.12,23.692,23.764,22.832,87662.5,99197.99,81887.8,3.04
2016-11-08,23.17,24.5,24.46,22.95,105850.97,1.41,6.12,23.424,23.73,22.741,84457.15,102137.11,80998.53,2.65
2016-11-07,23.11,23.39,23.06,22.84,44069.47,-0.33,-1.41,23.312,23.609,22.637,84152.81,106671.47,79616.43,1.1
2016-11-04,23.17,23.65,23.3,22.8,57950.55,0.09,0.39,23.554,23.491,22.571,105512.66,108668.03,80235.56,1.45
2016-11-03,23.16,23.51,23.2,22.65,108786.66,0.13,0.56,23.672,23.258,22.486,113321.44,106419.41,79787.09,2.72
2016-11-02,23.8,23.99,23.1,23.0,105628.11,-0.78,-3.27,23.836,23.061,22.391,110733.47,98134.5,78653.5,2.64
2016-11-01,24.1,24.6,23.9,23.63,104329.24,-0.35,-1.44,24.036,22.876,22.279,119817.06,90685.84,78151.13,2.61
2016-10-31,23.78,24.75,24.27,23.51,150868.73,0.38,1.59,23.906,22.619,22.078,129190.13,84118.69,75081.12,3.78
2016-10-28,24.1,24.2,23.89,23.05,96994.48,-0.15,-0.62,23.428,22.29,21.829,111823.39,73916.66,73016.45,2.43
2016-10-27,23.89,24.28,24.02,23.89,95846.8,-0.08,-0.33,22.844,22.076,21.694,99517.38,70095.45,70979.59,2.4
2016-10-26,23.25,24.56,24.1,22.8,151046.05,0.86,3.7,22.286,21.899,21.546,85535.53,64577.62,69375.01,3.78
2016-10-25,21.61,23.58,23.25,21.61,151194.61,1.37,6.26,21.716,21.752,21.387,61554.62,59859.95,63998.56,3.78
2016-10-24,21.15,21.98,21.88,21.04,64035.03,0.91,4.34,21.332,21.664,21.264,39047.25,52561.39,61276.05,1.6
2016-10-21,21.15,21.34,20.97,20.78,35464.4,-0.26,-1.23,21.152,21.651,21.228,36009.93,51803.09,62688.67,0.89
2016-10-20,21.25,21.4,21.23,21.08,25937.57,0.04,0.19,21.308,21.714,21.275,40673.52,53154.78,62463.35,0.65
2016-10-19,21.35,21.56,21.25,21.09,31141.48,-0.07,-0.33,21.512,21.72,21.309,43619.72,59172.49,64212.86,0.78
2016-10-18,21.14,21.35,21.33,20.81,38657.79,0.33,1.57,21.788,21.681,21.343,58165.29,65616.42,68310.29,0.97
2016-10-17,21.99,22.09,20.98,20.96,48848.43,-0.77,-3.54,21.996,21.536,21.431,66075.53,66043.55,75505.4,1.22
2016-10-14,22.2,22.2,21.75,21.48,58782.33,-0.49,-2.2,22.15,21.368,21.594,67596.25,72116.23,79871.47,1.47
2016-10-13,22.43,22.75,22.25,22.13,40668.55,-0.39,-1.72,22.12,21.312,21.731,65636.04,71863.74,88363.74,1.02
2016-10-12,22.3,23.25,22.63,22.12,103869.33,0.26,1.16,21.928,21.193,21.768,74725.26,74172.39,93140.56,2.6
2016-10-11,21.59,22.47,22.37,21.59,78209.0,0.61,2.8,21.574,21.022,21.775,73067.55,68137.18,93372.0,1.96
2016-10-10,21.9,21.9,21.75,21.11,56452.05,0.18,0.83,21.076,20.864,21.799,66011.57,69990.7,101160.38,1.41
2016-09-30,21.19,21.75,21.6,21.13,48981.25,0.31,1.46,20.586,20.804,21.855,76636.22,73574.24,111266.67,1.23
2016-09-29,20.85,21.85,21.29,20.56,86114.68,0.43,2.06,20.504,20.836,21.813,78091.44,71771.93,109938.59,2.16
2016-09-28,19.88,20.98,20.86,19.71,95580.75,0.98,4.93,20.458,20.897,21.784,73619.52,69253.23,107749.35,2.39
2016-09-27,19.3,19.9,19.88,19.29,42929.14,0.59,3.06,20.47,21.005,21.795,63206.81,71004.17,105560.66,1.07
2016-09-26,21.03,21.1,19.3,19.19,109575.26,-1.89,-8.92,20.652,21.325,21.888,73969.82,84967.25,105106.99,2.74
2016-09-23,21.06,21.53,21.19,20.8,56257.38,0.13,0.62,21.022,21.82,22.011,70512.26,87626.72,102171.52,1.93
2016-09-22,20.95,21.5,21.06,20.94,63755.07,0.13,0.62,21.168,22.149,22.053,65452.41,104863.74,103074.72,2.18
2016-09-21,20.78,20.96,20.92,20.62,43517.18,0.12,0.58,21.336,22.342,22.077,64886.94,112108.73,102700.67,1.49
2016-09-20,21.16,21.31,20.79,20.44,96744.23,-0.35,-1.66,21.54,22.528,22.14,78801.53,118606.82,103774.32,3.31
2016-09-19,21.95,22.1,21.15,21.1,92287.46,-0.8,-3.65,21.998,22.734,22.207,95964.67,132330.06,103940.68,3.16
2016-09-14,21.8,22.06,21.92,21.6,30958.12,0.0,0.0,22.618,22.905,22.279,104741.17,148959.11,107169.56,1.06
2016-09-13,22.1,22.3,21.9,21.58,60927.69,-0.03,-0.14,23.13,22.79,22.303,144275.06,148105.25,112482.09,2.09
2016-09-12,22.5,22.77,21.94,21.5,113090.14,-1.06,-4.61,23.348,22.67,22.348,159330.53,146245.48,118961.45,3.87
