date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-31,7.48,7.68,7.53,7.43,467595.19,0.07,0.94,7.476,7.573,7.361,414673.85,509294.06,533318.03,0.69
2017-03-30,7.41,7.63,7.46,7.38,538187.19,0.02,0.27,7.492,7.566,7.334,393660.97,566574.59,526894.54,0.79
2017-03-29,7.49,7.5,7.44,7.38,384936.5,-0.05,-0.67,7.504,7.554,7.311,397116.77,588863.4,511886.89,0.57
2017-03-28,7.49,7.59,7.49,7.43,359679.16,0.03,0.4,7.554,7.554,7.292,404183.89,737144.23,502531.89,0.53
2017-03-27,7.61,7.64,7.46,7.44,322971.22,-0.15,-1.97,7.606,7.515,7.269,446608.99,737519.45,496290.25,0.48
2017-03-24,7.54,7.65,7.61,7.49,362530.78,0.09,1.2,7.67,7.472,7.247,603914.27,727931.17,499723.92,0.53
2017-03-23,7.67,7.68,7.52,7.44,555466.19,-0.17,-2.21,7.64,7.41,7.222,739488.21,710113.78,493186.97,0.82
2017-03-22,7.71,7.72,7.69,7.62,420272.09,-0.06,-0.77,7.604,7.362,7.202,780610.03,685730.93,484119.17,0.62
2017-03-21,7.8,7.84,7.75,7.66,571804.69,-0.03,-0.39,7.554,7.297,7.174,1070104.56,661084.22,480793.1,0.84
2017-03-20,7.49,7.79,7.78,7.49,1109497.62,0.32,4.29,7.424,7.225,7.143,1028429.91,637341.0,474000.96,1.63
2017-03-17,7.35,7.63,7.46,7.32,1040400.44,0.12,1.64,7.274,7.148,7.11,851948.06,557342.0,440258.66,1.53
2017-03-16,7.4,7.44,7.34,7.3,761075.31,-0.1,-1.34,7.18,7.102,7.091,680739.35,487214.49,404478.85,1.12
2017-03-15,7.37,7.57,7.44,7.37,1867744.75,0.34,4.79,7.12,7.068,7.08,590851.82,434910.37,388894.24,2.75
2017-03-14,7.02,7.11,7.1,7.01,363431.41,0.07,1.0,7.04,7.029,7.06,252063.87,267919.56,346412.32,0.54
2017-03-13,7.0,7.03,7.03,6.96,227088.39,0.04,0.57,7.026,7.022,7.054,246252.09,255061.05,347098.75,0.33
2017-03-10,7.03,7.04,6.99,6.99,184356.91,-0.05,-0.71,7.022,7.021,7.051,262735.94,271516.67,363854.64,0.27
2017-03-09,7.02,7.05,7.04,6.96,311637.66,0.0,0.0,7.024,7.034,7.048,293689.62,276260.16,381594.93,0.46
2017-03-08,7.02,7.04,7.04,7.01,173805.0,0.01,0.14,7.016,7.042,7.041,278968.92,282507.4,401774.59,0.26
2017-03-07,7.0,7.06,7.03,6.97,334372.47,0.02,0.28,7.018,7.051,7.037,283775.25,300501.99,424506.77,0.49
2017-03-06,6.99,7.01,7.01,6.9,309507.66,0.01,0.14,7.018,7.061,7.03,263870.02,310660.93,424685.76,0.46
2017-03-03,6.99,7.0,7.0,6.94,339125.31,0.0,0.0,7.02,7.072,7.023,280297.39,323175.31,420718.84,0.5
2017-03-02,7.04,7.08,7.0,6.99,238034.16,-0.05,-0.71,7.044,7.079,7.013,258830.7,321743.22,413853.47,0.35
2017-03-01,7.04,7.05,7.05,7.01,197836.67,0.02,0.28,7.068,7.091,7.007,286045.89,342878.11,411807.44,0.29
2017-02-28,7.01,7.06,7.03,7.01,234846.3,0.01,0.14,7.084,7.091,6.999,317228.73,424905.07,410244.79,0.35
